API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Dec 31 00:51:56 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars Barycenter (4)             {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jun-01 00:00:00.0000 TDB
Stop  time      : A.D. 2032-Feb-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2463018.500000000, A.D. 2031-Jun-01 00:00:00.0000, -1.242302806430511E+08, -1.926555619110838E+08, -9.911479136825502E+05,  2.128418722901023E+01, -1.102365563356969E+01, -7.528155998920778E-01,
2463019.500000000, A.D. 2031-Jun-02 00:00:00.0000, -1.223862521948120E+08, -1.936000601108598E+08, -1.056149011271521E+06,  2.140141302432312E+01, -1.083950094902253E+01, -7.518286963032370E-01,
2463020.500000000, A.D. 2031-Jun-03 00:00:00.0000, -1.205321587886291E+08, -1.945285884551889E+08, -1.121062052931264E+06,  2.151716950678898E+01, -1.065398447021934E+01, -7.507772278264708E-01,
2463021.500000000, A.D. 2031-Jun-04 00:00:00.0000, -1.186681281148179E+08, -1.954410296553703E+08, -1.185881449847877E+06,  2.163143950295130E+01, -1.046711480636645E+01, -7.496609542030708E-01,
2463022.500000000, A.D. 2031-Jun-05 00:00:00.0000, -1.167942893486909E+08, -1.963372671761462E+08, -1.250601592621043E+06,  2.174420581175988E+01, -1.027890078951414E+01, -7.484796391723023E-01,
2463023.500000000, A.D. 2031-Jun-06 00:00:00.0000, -1.149107731528308E+08, -1.972171852550699E+08, -1.315216851614490E+06,  2.185545120715045E+01, -1.008935147719439E+01, -7.472330505896534E-01,
2463024.500000000, A.D. 2031-Jun-07 00:00:00.0000, -1.130177116791375E+08, -1.980806689221008E+08, -1.379721577316716E+06,  2.196515844069811E+01, -9.898476155046474E+00, -7.459209605467008E-01,
2463025.500000000, A.D. 2031-Jun-08 00:00:00.0000, -1.111152385706435E+08, -1.989276040194260E+08, -1.444110100712314E+06,  2.207331024433574E+01, -9.706284339429448E+00, -7.445431454924223E-01,
2463026.500000000, A.D. 2031-Jun-09 00:00:00.0000, -1.092034889630893E+08, -1.997578772215067E+08, -1.508376733663842E+06,  2.217988933316852E+01, -9.512785780026666E+00, -7.430993863573647E-01,
2463027.500000000, A.D. 2031-Jun-10 00:00:00.0000, -1.072825994862549E+08, -2.005713760553491E+08, -1.572515769304216E+06,  2.228487840833661E+01, -9.317990462408627E+00, -7.415894686763589E-01,
