API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Dec 16 00:23:00 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars Barycenter (4)             {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2034-Sep-21 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Dec-12 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464226.500000000, A.D. 2034-Sep-21 00:00:00.0000, -2.350391215988174E+08,  8.380078921648805E+07,  7.532616295251794E+06, -7.304131435436739E+00, -2.073682562469832E+01, -2.554402406190572E-01,
2464231.500000000, A.D. 2034-Sep-26 00:00:00.0000, -2.380060639085519E+08,  7.477727179304746E+07,  7.416281561017398E+06, -6.429725644892240E+00, -2.103319657748374E+01, -2.830794420590284E-01,
2464236.500000000, A.D. 2034-Oct-01 00:00:00.0000, -2.405927589725178E+08,  6.563290738610212E+07,  7.288095949956566E+06, -5.543892495289458E+00, -2.129623433050116E+01, -3.102999417675933E-01,
2464241.500000000, A.D. 2034-Oct-06 00:00:00.0000, -2.427944846806281E+08,  5.638218368492365E+07,  7.148247436769281E+06, -4.647626774790719E+00, -2.152553373154525E+01, -3.370688712780288E-01,
2464246.500000000, A.D. 2034-Oct-11 00:00:00.0000, -2.446069510117407E+08,  4.703976201170394E+07,  6.996938223459786E+06, -3.741934454129507E+00, -2.172069605572506E+01, -3.633532229496206E-01,
2464251.500000000, A.D. 2034-Oct-16 00:00:00.0000, -2.460263053182389E+08,  3.762047455865024E+07,  6.834384810884519E+06, -2.827834795823300E+00, -2.188132897351056E+01, -3.891197975111611E-01,
2464256.500000000, A.D. 2034-Oct-21 00:00:00.0000, -2.470491385326315E+08,  2.813932159765633E+07,  6.660818092376482E+06, -1.906362512568671E+00, -2.200704671079457E+01, -4.143351543619032E-01,
2464261.500000000, A.D. 2034-Oct-26 00:00:00.0000, -2.476724923161885E+08,  1.861146857800994E+07,  6.476483468180321E+06, -9.785699693335209E-01, -2.209747040854952E+01, -4.389655649978446E-01,
2464266.500000000, A.D. 2034-Oct-31 00:00:00.0000, -2.478938671676618E+08,  9.052243024096148E+06,  6.281640979244042E+06, -4.552942570706199E-02, -2.215222869048499E+01, -4.629769700567223E-01,
2464271.500000000, A.D. 2034-Nov-05 00:00:00.0000, -2.477112315088465E+08, -5.228688583846339E+05,  6.076565458709723E+06,  8.916646849614084E-01, -2.217095844588091E+01, -4.863349403708046E-01,
