API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec 22 21:56:01 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2035-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462502.500000000, A.D. 2030-Jan-01 00:00:00.0000, -2.592636728814095E+07,  1.448368869091996E+08, -3.787071235872805E+03, -2.982040565319705E+01, -5.364759719314518E+00, -4.789742753545934E-04,
2462503.500000000, A.D. 2030-Jan-02 00:00:00.0000, -2.849873272225901E+07,  1.443507435682548E+08, -3.831717070534825E+03, -2.972342358119088E+01, -5.888325524725143E+00, -5.427050462407657E-04,
2462504.500000000, A.D. 2030-Jan-03 00:00:00.0000, -3.106228616067375E+07,  1.438194300587603E+08, -3.878734552867711E+03, -2.961641901412489E+01, -6.410300320366137E+00, -5.331941471165003E-04,
2462505.500000000, A.D. 2030-Jan-04 00:00:00.0000, -3.361616144064365E+07,  1.432431009048278E+08, -3.921722138680518E+03, -2.949940019624819E+01, -6.930288260643409E+00, -4.499274257017127E-04,
2462506.500000000, A.D. 2030-Jan-05 00:00:00.0000, -3.615949652523177E+07,  1.426219446055096E+08, -3.954533949211240E+03, -2.937245338786454E+01, -7.447903980598380E+00, -2.992011272384687E-04,
2462507.500000000, A.D. 2030-Jan-06 00:00:00.0000, -3.869143976462440E+07,  1.419561814659349E+08, -3.971813454598188E+03, -2.923572942424022E+01, -7.962800429613131E+00, -9.265047551965111E-05,
2462508.500000000, A.D. 2030-Jan-07 00:00:00.0000, -4.121115449490167E+07,  1.412460594897927E+08, -3.969357746906579E+03, -2.908942003045978E+01, -8.474684966311624E+00,  1.550674050889711E-04,
2462509.500000000, A.D. 2030-Jan-08 00:00:00.0000, -4.371782146764410E+07,  1.404918494954712E+08, -3.944275428108871E+03, -2.893373277045261E+01, -8.983321406970688E+00,  4.285993620962714E-04,
2462510.500000000, A.D. 2030-Jan-09 00:00:00.0000, -4.621063932996860E+07,  1.396938405498405E+08, -3.894967443890870E+03, -2.876887183214306E+01, -9.488521536478849E+00,  7.135969403839759E-04,
2462511.500000000, A.D. 2030-Jan-10 00:00:00.0000, -4.868882381483305E+07,  1.388523363758736E+08, -3.820997085660696E+03, -2.859502748961333E+01, -9.990132053874087E+00,  9.975801156962838E-04,
