API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Dec 16 00:27:08 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2040-Jan-01 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462502.500000000, A.D. 2030-Jan-01 00:00:00.0000, -2.592636728814095E+07,  1.448368869091996E+08, -3.787071235872805E+03, -2.982040565319705E+01, -5.364759719314518E+00, -4.789742753545934E-04,
2462507.500000000, A.D. 2030-Jan-06 00:00:00.0000, -3.869143976462440E+07,  1.419561814659349E+08, -3.971813454598188E+03, -2.923572942424022E+01, -7.962800429613131E+00, -9.265047551965111E-05,
2462512.500000000, A.D. 2030-Jan-11 00:00:00.0000, -5.115160637019469E+07,  1.379676528941326E+08, -3.722917581662536E+03, -2.841237327867045E+01, -1.048802205014657E+01,  1.270095193759424E-03,
2462517.500000000, A.D. 2030-Jan-16 00:00:00.0000, -6.320854441014180E+07,  1.329083066391981E+08, -2.941523304656148E+03, -2.737224184126862E+01, -1.291782059708295E+01,  2.194433419585806E-03,
2462522.500000000, A.D. 2030-Jan-21 00:00:00.0000, -7.477257622217029E+07,  1.268220483701330E+08, -2.000443758480251E+03, -2.613294962232946E+01, -1.524105858485647E+01,  1.942952048572089E-03,
2462527.500000000, A.D. 2030-Jan-26 00:00:00.0000, -8.576008854006933E+07,  1.197559522308351E+08, -1.397075241483748E+03, -2.470324430853872E+01, -1.745342922476571E+01,  8.210448132288661E-04,
2462532.500000000, A.D. 2030-Jan-31 00:00:00.0000, -9.608798978793609E+07,  1.117600517623523E+08, -1.178925055801868E+03, -2.307812912167332E+01, -1.954153641771628E+01,  4.413006397347985E-04,
2462537.500000000, A.D. 2030-Feb-05 00:00:00.0000, -1.056719732465849E+08,  1.028947768727654E+08, -8.003807627335191E+02, -2.126227593738959E+01, -2.147225893915030E+01,  1.468438680833017E-03,
2462542.500000000, A.D. 2030-Feb-10 00:00:00.0000, -1.144351679831620E+08,  9.323458951278108E+07,  1.069606415331364E+02, -1.928356193177500E+01, -2.321918517559994E+01,  2.640212185237800E-03,
2462547.500000000, A.D. 2030-Feb-15 00:00:00.0000, -1.223137030562270E+08,  8.286107444358762E+07,  1.344950829226524E+03, -1.717089073923431E+01, -2.477414242799524E+01,  2.888534118516972E-03,
