API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Dec 31 00:51:55 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2031-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000, -2.549443458226240E+07,  1.450920034120030E+08, -6.628030005022883E+02, -2.983462547002664E+01, -5.254026134049460E+00,  1.328748457180229E-03,
2462868.500000000, A.D. 2031-Jan-02 00:00:00.0000, -2.806795709713539E+07,  1.446155678948449E+08, -5.384972231537104E+02, -2.973615423021867E+01, -5.774205382836223E+00,  1.541664656440123E-03,
2462869.500000000, A.D. 2031-Jan-03 00:00:00.0000, -3.063258436949064E+07,  1.440942856795892E+08, -3.976776687130332E+02, -2.962873580606925E+01, -6.292129300727083E+00,  1.710393089036533E-03,
2462870.500000000, A.D. 2031-Jan-04 00:00:00.0000, -3.318754800956241E+07,  1.435283554179906E+08, -2.442987932562828E+02, -2.951247550864996E+01, -6.807710751545795E+00,  1.832032425615804E-03,
2462871.500000000, A.D. 2031-Jan-05 00:00:00.0000, -3.573208819360216E+07,  1.429179831348051E+08, -8.250266068428755E+01, -2.938746685083524E+01, -7.320866188587105E+00,  1.905094482609559E-03,
2462872.500000000, A.D. 2031-Jan-06 00:00:00.0000, -3.826545275395143E+07,  1.422633819031622E+08,  8.349415179342031E+01, -2.925379374142524E+01, -7.831516148132160E+00,  1.929329927297996E-03,
2462873.500000000, A.D. 2031-Jan-07 00:00:00.0000, -4.078689637434778E+07,  1.415647714537463E+08,  2.495064745023847E+02, -2.911153078145145E+01, -8.339586101254294E+00,  1.905724999036185E-03,
2462874.500000000, A.D. 2031-Jan-08 00:00:00.0000, -4.329567974533714E+07,  1.408223777290949E+08,  4.114909150898457E+02, -2.896074214656329E+01, -8.845006756888605E+00,  1.836594898796839E-03,
2462875.500000000, A.D. 2031-Jan-09 00:00:00.0000, -4.579106858602507E+07,  1.400364324543208E+08,  5.656657584235072E+02, -2.880147972913031E+01, -9.347713332473237E+00,  1.725699360182187E-03,
2462876.500000000, A.D. 2031-Jan-10 00:00:00.0000, -4.827233249830648E+07,  1.392071728197913E+08,  7.086395575776696E+02, -2.863378122381839E+01, -9.847643708428766E+00,  1.578320068159389E-03,
