API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Dec 16 00:28:10 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2033-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2035-Dec-31 00:00:00.0000 TDB
Step-size       : 7200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2463598.500000000, A.D. 2033-Jan-01 00:00:00.0000, -2.726583918035967E+07,  1.446519334035184E+08,  9.412049610376358E+03, -2.980228479390642E+01, -5.508204099744505E+00,  3.527944012464701E-04,
2463603.500000000, A.D. 2033-Jan-06 00:00:00.0000, -4.001878857839230E+07,  1.417101274556077E+08,  9.888403361350298E+03, -2.919842413958374E+01, -8.100442090576580E+00,  1.787909438031754E-03,
2463608.500000000, A.D. 2033-Jan-11 00:00:00.0000, -5.246006480430916E+07,  1.376647715367448E+08,  1.077658792987466E+04, -2.836404629230953E+01, -1.061314931023154E+01,  2.061455263159040E-03,
2463613.500000000, A.D. 2033-Jan-16 00:00:00.0000, -6.449560614080614E+07,  1.325535721596608E+08,  1.149964805273712E+04, -2.732260261445543E+01, -1.303432610929859E+01,  1.197877912557210E-03,
2463618.500000000, A.D. 2033-Jan-21 00:00:00.0000, -7.603804180311328E+07,  1.264169268363684E+08,  1.183473399616778E+04, -2.608126830572526E+01, -1.535919349585734E+01,  4.726051961281286E-04,
2463623.500000000, A.D. 2033-Jan-26 00:00:00.0000, -8.700096364469154E+07,  1.192989855863398E+08,  1.205659265784174E+04, -2.463955325158945E+01, -1.757442021047253E+01,  7.585115748174331E-04,
2463628.500000000, A.D. 2033-Jan-31 00:00:00.0000, -9.729768067427659E+07,  1.112515863483511E+08,  1.265227032119036E+04, -2.299718753233664E+01, -1.965733249753966E+01,  2.103839393480911E-03,
2463633.500000000, A.D. 2033-Feb-05 00:00:00.0000, -1.068433910731709E+08,  1.023392598618546E+08,  1.380384999274462E+04, -2.116759710467677E+01, -2.157292305193086E+01,  2.977323872778825E-03,
2463638.500000000, A.D. 2033-Feb-10 00:00:00.0000, -1.155648239905591E+08,  9.263935247135979E+07,  1.499837318596989E+04, -1.918676025920118E+01, -2.330335250759375E+01,  2.368626134625629E-03,
2463643.500000000, A.D. 2033-Feb-15 00:00:00.0000, -1.234023371896137E+08,  8.223138341721515E+07,  1.579423647250235E+04, -1.707761197028931E+01, -2.485145636675230E+01,  1.362925913253932E-03,
